name,address,lat,lng,license_number,hotel_type,source,raw_data
109 Inn Taipei 台北109旅店,100臺北市中正區博愛路36號3樓、7樓,25.0461350,121.5111980,臺北市旅館682號,,一般旅館,"{""_id"": 464, ""_importdate"": {""date"": ""2025-12-29 11:10:45.522340"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館682號"", ""旅館名稱"": ""109 Inn Taipei 台北109旅店"", ""電話或手機號碼"": ""0905-972109"", ""營業地址"": ""100臺北市中正區博愛路36號3樓、7樓"", ""客房最低定價"": ""3500"", ""客房最高定價"": ""50000"", ""房間數"": ""14""}"
?朗旅宿,106臺北市大安區金華街187號2樓、5樓~13樓,25.0301280,121.5276200,臺北市旅館813號,,一般旅館,"{""_id"": 581, ""_importdate"": {""date"": ""2025-12-29 11:10:45.656828"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館813號"", ""旅館名稱"": ""?朗旅宿"", ""電話或手機號碼"": ""(02)23418828"", ""營業地址"": ""106臺北市大安區金華街187號2樓、5樓~13樓"", ""客房最低定價"": ""2400"", ""客房最高定價"": ""20500"", ""房間數"": ""100""}"
?美精旅,100臺北市中正區重慶南路1段111號,25.0295920,121.5155120,臺北市旅館497號,,一般旅館,"{""_id"": 326, ""_importdate"": {""date"": ""2025-12-29 11:10:45.371867"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館497號"", ""旅館名稱"": ""?美精旅"", ""電話或手機號碼"": ""(02)23832088"", ""營業地址"": ""100臺北市中正區重慶南路1段111號"", ""客房最低定價"": ""8000"", ""客房最高定價"": ""16000"", ""房間數"": ""38""}"
MVSA 慕舍酒店,104臺北市中山區建國北路一段61號,25.0507040,121.5371730,臺北市旅館705號,,一般旅館,"{""_id"": 482, ""_importdate"": {""date"": ""2025-12-29 11:10:45.540730"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館705號"", ""旅館名稱"": ""MVSA 慕舍酒店"", ""電話或手機號碼"": ""(02)25006772"", ""營業地址"": ""104臺北市中山區建國北路一段61號"", ""客房最低定價"": ""18800"", ""客房最高定價"": ""36800"", ""房間數"": ""38""}"
WESTGATE HOTEL 永安棧,108臺北市萬華區中華路一段148號1樓、148之1號1樓及150號1至10樓,,,臺北市旅館416號,,一般旅館,"{""_id"": 261, ""_importdate"": {""date"": ""2025-12-29 11:10:45.288113"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館416號"", ""旅館名稱"": ""WESTGATE HOTEL 永安棧"", ""電話或手機號碼"": ""(02)23313161"", ""營業地址"": ""108臺北市萬華區中華路一段148號1樓、148之1號1樓及150號1至10樓"", ""客房最低定價"": ""4000"", ""客房最高定價"": ""50000"", ""房間數"": ""121""}"
一加一旅館,108臺北市萬華區昆明街34號3樓,25.0470060,121.5058820,臺北市旅館076號,,一般旅館,"{""_id"": 40, ""_importdate"": {""date"": ""2025-12-29 11:10:45.012659"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館076號"", ""旅館名稱"": ""一加一旅館"", ""電話或手機號碼"": ""(02)23892886"", ""營業地址"": ""108臺北市萬華區昆明街34號3樓"", ""客房最低定價"": ""1200"", ""客房最高定價"": ""2200"", ""房間數"": ""13""}"
一等好旅店,"105臺北市松山區八德路四段624巷2號B1-1樓,4號2-6樓",,,臺北市旅館130號,,一般旅館,"{""_id"": 79, ""_importdate"": {""date"": ""2025-12-29 11:10:45.065034"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館130號"", ""旅館名稱"": ""一等好旅店"", ""電話或手機號碼"": ""(02)27609255"", ""營業地址"": ""105臺北市松山區八德路四段624巷2號B1-1樓,4號2-6樓"", ""客房最低定價"": ""1500"", ""客房最高定價"": ""6000"", ""房間數"": ""32""}"
三二行館,112臺北市北投區中山路32號,25.1377860,121.5105320,臺北市旅館321號,,一般旅館,"{""_id"": 200, ""_importdate"": {""date"": ""2025-12-29 11:10:45.210830"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館321號"", ""旅館名稱"": ""三二行館"", ""電話或手機號碼"": ""(02)66117888"", ""營業地址"": ""112臺北市北投區中山路32號"", ""客房最低定價"": ""29800"", ""客房最高定價"": ""29800"", ""房間數"": ""5""}"
三隻老虎青年旅館,108臺北市萬華區康定路25巷39號4樓,25.0436410,121.5046020,臺北市旅館429號,,一般旅館,"{""_id"": 271, ""_importdate"": {""date"": ""2025-12-29 11:10:45.298328"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館429號"", ""旅館名稱"": ""三隻老虎青年旅館"", ""電話或手機號碼"": ""(02)23755299"", ""營業地址"": ""108臺北市萬華區康定路25巷39號4樓"", ""客房最低定價"": ""1700"", ""客房最高定價"": ""5200"", ""房間數"": ""7""}"
上華旅館,104臺北市中山區雙城街5號2樓至6樓,25.0636270,121.5244540,臺北市旅館218號,,一般旅館,"{""_id"": 128, ""_importdate"": {""date"": ""2025-12-29 11:10:45.122607"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館218號"", ""旅館名稱"": ""上華旅館"", ""電話或手機號碼"": ""(02)25911190"", ""營業地址"": ""104臺北市中山區雙城街5號2樓至6樓"", ""客房最低定價"": ""4000"", ""客房最高定價"": ""22000"", ""房間數"": ""40""}"
